Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,53885.5,53198.75,52280.75,52763.0,52964.75,54145.25,53360.5,54460.75,55580.25,53796.5,51769.0,54208.5,59561.5,54999.5,57218.5,52649.25,55928.5,56832.75,52687.75,53336.25,47002.0,40894.75,44001.0,49790.0,51395.5,49829.75,47537.75
Albania,29385.0,28142.5,30073.0,40478.2,34981.0,45779.25,43990.75,45755.0,50748.0,55392.5,56373.5,58793.25,61236.25,58710.5,60001.5,65396.25,67910.75,72782.5,76011.5,83092.25,88618.25,90725.0,93064.25,95233.75,94000.0,94170.5,93730.75
Algeria,29264.4,34360.8,41083.4,40984.6,32240.75,38814.4,39496.8,45095.0,45165.0,45512.0,58815.0,45072.2,54970.4,58908.8,61008.2,62334.4,74184.4,84145.6,73576.6,80542.4,71356.4,89933.2,114036.0,86749.0,83988.6,97849.8,128306.8
American Samoa,31504.0,53388.0,53003.5,52619.0,52234.5,51850.0,51851.0,64035.0,73055.0,52083.5,47551.5,45474.5,45094.5,29126.0,49333.5,47019.0,46795.5,44822.0,46109.0,45828.5,45619.5,45510.5,46571.5,47941.5,46569.0,45768.5,46623.5
Angola,31793.666666666668,30884.83333333333,32196.5,36648.833333333336,42166.833333333336,39810.5,40293.833333333336,38723.66666666666,39874.5,39211.66666666666,23712.875,27909.375,29578.875,27565.75,28434.75,27402.25,30200.0,33441.0,41392.5,41789.25,42324.625,39548.75,31472.25,39410.25,39952.0,40306.875,38487.75
Antigua and Barbuda,42490.75,41468.25,41095.75,40317.75,40027.25,39327.5,39540.75,39474.5,39382.75,39315.0,39371.0,39239.5,38951.0,37400.75,37399.75,38588.25,38358.0,39135.0,39695.25,39848.25,40181.75,40561.25,42437.25,41135.5,41209.75,41662.75,41899.5
Argentina,71819.625,74104.5,75570.625,75596.25,83485.125,89313.75,83682.875,86238.375,97308.875,85661.375,90727.125,93654.625,90827.25,93888.875,95402.875,97207.0,94727.375,96707.25,95160.125,92350.5,97530.75,96495.0,95182.125,95248.625,96265.875,98163.625,98545.5
Australia,87676.85714285714,87854.28571428571,88745.57142857143,84714.85714285714,88062.85714285714,91639.0,95378.0,109106.71428571428,114074.85714285714,116291.42857142857,115004.71428571428,122840.28571428572,128765.57142857143,126820.85714285714,129321.71428571428,123436.42857142857,121644.0,126176.14285714286,122140.42857142857,117882.42857142857,125978.0,127280.71428571428,135180.85714285713,138686.7142857143,148536.57142857142,142675.85714285713,143670.14285714287
Austria,100294.75,99216.25,89922.0,110012.25,88350.75,106643.25,112091.5,115042.25,113775.5,121150.25,114263.5,116102.75,119639.5,105390.0,124246.75,132277.0,117511.75,118008.25,132867.5,127676.5,109646.8,124932.4,110007.2,98591.4,122276.6,100393.6,127954.2
Bahamas,53261.66666666666,49350.66666666666,48037.333333333336,46160.0,43061.66666666666,41911.333333333336,41679.333333333336,41172.333333333336,42188.66666666666,46581.66666666666,53355.333333333336,54288.0,55097.333333333336,56397.66666666666,57559.66666666666,59046.333333333336,59589.66666666666,59973.333333333336,73881.0,91825.66666666669,102708.5,102788.0,102162.5,101963.75,105390.0,108188.0,110396.0
Bahrain,151667.0,163333.5,150250.0,139762.0,136250.0,143333.5,125000.0,160000.0,160000.0,100000.0,103333.0,110000.0,190000.0,180000.0,180000.0,100000.0,130000.0,255556.0,210000.0,166667.0,155598.0,171162.0,177812.0,179569.0,181326.0,183083.0,184840.0
Bangladesh,41423.16666666666,42977.5,44690.333333333336,44407.0,44599.16666666666,45560.833333333336,46017.833333333336,45947.16666666666,46050.5,47342.333333333336,50492.16666666666,53382.5,54364.16666666666,56350.5,58089.0,53353.42857142857,52816.57142857143,55363.142857142855,60365.71428571428,54044.28571428572,62377.42857142857,62985.57142857143,65809.28571428571,65469.857142857145,66995.71428571429,67547.85714285714,69005.42857142857
Barbados,93266.75,90504.0,93319.5,119005.5,99310.0,94181.75,94141.0,101695.25,107161.25,122054.0,123154.75,122237.75,120940.5,122315.5,192949.75,145121.25,141733.25,110930.5,125212.5,140530.75,139608.5,138635.25,139559.75,139541.75,140107.25,141111.5,142277.0
